Hostname,Host groups,MAC address,OS version,Manufacturer,Last seen,Asset management,Sensor ID,Tags,Site name,Platform
ACBDVL01,9b96afa1c3ef4d28b9d03070fbc7f610,F4-B3-01-56-52-48,Windows 11,LENOVO,2026-03-04T16:34:36Z,Managed,f240ebd563b3452db70a4b44827bd695,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBHR01,9b96afa1c3ef4d28b9d03070fbc7f610,20-1E-88-D0-17-B8,Windows 11,LENOVO,2026-03-05T21:25:33Z,Managed,7fff6b03290944e29c60eef1e3ca615d,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL004-TBD,9b96afa1c3ef4d28b9d03070fbc7f610,B8-1E-A4-BE-B3-B1,Windows 11,LENOVO,2026-03-02T19:48:23Z,Managed,c1077d5c378f427797e910b6e5d4bcd9,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL008,9b96afa1c3ef4d28b9d03070fbc7f610,10-91-D1-0E-CA-E5,Windows 11,Dell Inc.,2026-03-05T16:03:57Z,Managed,98398e35a11d47eb8f8d399f45816c82,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL011,9b96afa1c3ef4d28b9d03070fbc7f610,DC-45-46-CD-90-BF,Windows 11,LENOVO,2026-03-05T21:48:03Z,Managed,19dfd8f3ddfb4519b50adc31e555505f,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL014,9b96afa1c3ef4d28b9d03070fbc7f610,E0-8F-4C-58-ED-BE,Windows 11,LENOVO,2026-03-05T21:30:50Z,Managed,9c58e42ce4b64fbab42c32c465762ea4,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL016,9b96afa1c3ef4d28b9d03070fbc7f610,7C-FA-80-F0-DE-BE,Windows 11,LENOVO,2026-03-05T21:58:49Z,Managed,fbd6169a4473480b8d08d9279ecfad64,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBL020,9b96afa1c3ef4d28b9d03070fbc7f610,7C-FA-80-D2-8E-E9,Windows 11,LENOVO,2026-03-05T21:44:29Z,Managed,09fdec957db846f99103057e91179702,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACC-LAP-01,adcecb1654dc408f88b9d40d567fdc65,08-B4-D2-58-76-3B,Windows 11,HP,2026-03-02T21:46:05Z,Managed,182ec06b38114eefbdac0d1d41ec5df0,SensorGroupingTags/Autocamp_Catskills,,Windows
ACCATSKILLS-VIN,adcecb1654dc408f88b9d40d567fdc65,C0-25-A5-D2-11-F9,Windows 11,Dell Inc.,2026-03-05T21:43:03Z,Managed,bdd5bb3f661f495d9094b169cbdff46d,SensorGroupingTags/Autocamp_Catskills,,Windows
ACCCESL02,9b96afa1c3ef4d28b9d03070fbc7f610,AC-5A-FC-EC-43-98,Windows 11,LENOVO,2026-03-05T05:14:25Z,Managed,3fdefc977f1e4e2fbc56bb25da60372e,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACCCFD01,ca21a1a3c5a3458b97f28f003b13a813,E0-4F-43-E7-52-3D,Windows 11,LENOVO,2026-03-05T22:02:29Z,Managed,aace6291d6414d5eb254b8c8ddd16412,SensorGroupingTags/Autocamp_Cape_Cod,,Windows
ACCCFD02,ca21a1a3c5a3458b97f28f003b13a813,E0-4F-43-E7-55-FE,Windows 11,LENOVO,2026-03-05T21:29:42Z,Managed,9a709bc952f846c0922b18122bf793e2,SensorGroupingTags/Autocamp_Cape_Cod,,Windows
ACCCFD03,ca21a1a3c5a3458b97f28f003b13a813,"E0-4F-43-E7-56-94, 34-2E-B7-D9-0E-59",Windows 11,LENOVO,2026-03-05T21:44:12Z,Managed,a44ea515234c433781aff5345a3093b4,SensorGroupingTags/Autocamp_Cape_Cod,,Windows
ACCCFD04,,,Windows,LENOVO,2026-02-25T19:33:40Z,Managed,5af558e153dd4b17b98c7eaa16834603,SensorGroupingTags/Autocamp_Cape_Cod,,Windows
ACCSFD02,adcecb1654dc408f88b9d40d567fdc65,90-2E-16-F9-13-4B,Windows 11,LENOVO,2026-03-05T19:57:44Z,Managed,9c4fa61800104b0bbd78f3d45b3454cb,SensorGroupingTags/Autocamp_Catskills,,Windows
ACCSHMS1,adcecb1654dc408f88b9d40d567fdc65,C0-25-A5-9D-B0-E6,Windows 11,Dell Inc.,2026-03-05T21:45:54Z,Managed,aad87f83212e4f18898861077d7330bd,SensorGroupingTags/Autocamp_Catskills,,Windows
ACDEVL01,9b96afa1c3ef4d28b9d03070fbc7f610,"AE-82-47-D6-6F-87, AC-82-47-D6-6F-87",Windows 11,LENOVO,2026-03-05T12:08:55Z,Managed,027a122c92b74e099eca37db6b3b77ad,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACJT-L-01,0e452d2d9feb45dba25d33969dea3855,7C-FA-80-F0-DB-04,Windows 11,LENOVO,2026-03-05T21:57:16Z,Managed,00bfff6cfcd24977b1c1fbdd152c8951,SensorGroupingTags/Autocamp_Joshua_Tree,,Windows
ACJTASSA,0e452d2d9feb45dba25d33969dea3855,"38-F3-AB-98-A6-9A, 14-5A-FC-06-F0-AB",Windows 11,LENOVO,2026-03-05T21:43:43Z,Managed,12bc11d8b96249f78c3bd96e6d784d0f,SensorGroupingTags/Autocamp_Joshua_Tree,,Windows
ACJTHMS,0e452d2d9feb45dba25d33969dea3855,6C-24-08-66-48-6E,Windows 11,LENOVO,2026-03-05T21:56:48Z,Managed,2ef07f088e454fd48432ded744df26c0,SensorGroupingTags/Autocamp_Joshua_Tree,,Windows
ACRESL06,9b96afa1c3ef4d28b9d03070fbc7f610,"F8-75-A4-7F-BD-3E, 08-71-90-7C-1E-6F",Windows 11,LENOVO,2026-03-05T21:41:33Z,Managed,b2c87f796455479fb9021a2db83c7400,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACRRFD01,fe710bb09cee4d08bc92d95f329fef5e,"54-05-DB-9F-D6-5B, 78-2B-46-E8-1A-48",Windows 11,LENOVO,2026-03-05T22:05:31Z,Managed,25438513d1c34849866d63b4b44107f2,SensorGroupingTags/Autocamp_Russian_River,,Windows
ACRRFD2,fe710bb09cee4d08bc92d95f329fef5e,08-8F-C3-AF-45-7C,Windows 11,LENOVO,2026-03-05T21:54:01Z,Managed,d0f6e8ee8016476f96ef6cfadb89667d,SensorGroupingTags/Autocamp_Russian_River,,Windows
ACRRHMS,fe710bb09cee4d08bc92d95f329fef5e,04-7C-16-28-5A-90,Windows 11,LENOVO,2026-03-05T22:03:45Z,Managed,d217b0ac6f5847fe87b2aed8d688966f,SensorGroupingTags/Autocamp_Russian_River,,Windows
ACSEQ-FD2,878a2efa4dac4c1a91e8a9cab8872bd9,28-00-AF-FE-8F-0A,Windows 11,Dell Inc.,2026-03-05T21:43:41Z,Managed,0474075cdf6f4afd838a8f0de9d418bb,SensorGroupingTags/AutoCamp_Sequoia,,Windows
ACSEQ-L-01,,,Windows,LENOVO,2026-02-25T18:18:28Z,Managed,a36a9b9f4e3942d59dfa91c2a0f8717d,SensorGroupingTags/AutoCamp_Sequoia,,Windows
ACSEQ-L-02,,,Windows,LENOVO,2026-02-25T18:45:40Z,Managed,3a93fc9709444e71b3a32a37dd2e3653,SensorGroupingTags/AutoCamp_Sequoia,,Windows
ACSEQ-L-04,878a2efa4dac4c1a91e8a9cab8872bd9,"6A-34-21-E9-08-86, 68-34-21-E9-08-86",Windows 11,LENOVO,2026-03-05T21:57:52Z,Managed,69ab8fb32709486fb6a17dd6e1e663b6,SensorGroupingTags/AutoCamp_Sequoia,,Windows
ACSEQ-L-07,,,Windows,LENOVO,2026-02-25T18:27:25Z,Managed,9fa45e2f6d1d4f3ab08fb617c2952fb3,SensorGroupingTags/AutoCamp_Sequoia,,Windows
ACY-HK01,ba8180fb2a0348058fbfd571e6c3f84e,E8-C8-29-56-80-74,Windows 11,LENOVO,2026-03-05T22:00:05Z,Managed,cda6a66b495e4d5bb10fb1e10640215e,SensorGroupingTags/Autocamp_Yosemite,,Windows
ACYFD01,ba8180fb2a0348058fbfd571e6c3f84e,"38-F3-AB-98-B9-71, F6-4C-A1-CB-9D-F3, 74-4C-A1-CB-9D-F3",Windows 11,LENOVO,2026-03-05T21:47:17Z,Managed,57004e27c35548efa3d061429c792817,SensorGroupingTags/Autocamp_Yosemite,,Windows
ACZFDS1,88dbfa66cbff4b01ba351ac1da343e0b,E4-A8-DF-D5-40-BB,Windows 11,LENOVO,2026-03-05T21:50:44Z,Managed,eb9103277e0444d8a444d3b92a568166,SensorGroupingTags/Autocamp_Zion,,Windows
ACZFDS2,88dbfa66cbff4b01ba351ac1da343e0b,E4-A8-DF-D5-42-63,Windows 11,LENOVO,2026-03-05T21:56:36Z,Managed,88a403b005994966921b37051142cf88,SensorGroupingTags/Autocamp_Zion,,Windows
ACZMT01,88dbfa66cbff4b01ba351ac1da343e0b,AC-5A-FC-B0-6A-EE,Windows 11,LENOVO,2026-03-05T21:54:41Z,Managed,4e1b4817e0c746f6876b3333c9432331,SensorGroupingTags/Autocamp_Zion,,Windows
ACZNHMS1,88dbfa66cbff4b01ba351ac1da343e0b,84-69-93-7B-37-12,Windows 11,HP,2026-03-05T21:33:14Z,Managed,0e010134193c4f1e9bc642fe4f27e35e,SensorGroupingTags/Autocamp_Zion,,Windows
ADSIPC10,4e8a9020b1b14252a7497d466a4430e4,E0-8F-4C-5A-29-77,Windows 11,LENOVO,2026-03-05T21:45:22Z,Managed,b88ac4ae5f71445e9ebbefaf86e35955,SensorGroupingTags/Diversity_HS_Tustin_Dow,,Windows
AGM,5e247f20275641c49a45fb35c8a2892f,"C0-18-50-24-B7-94, 50-2F-9B-F6-E9-E7",Windows 11,LENOVO,2026-03-05T21:25:32Z,Managed,9bf55cce692d434ca5e96639c22ad093,SensorGroupingTags/Miyako_Hybrid_Hotel_Torrance,Torrance,Windows
ALA-DC2,353b7f9c0e804b95b0a1b09b9da14a66,00-50-56-BD-BD-B9,Windows Server 2016,"VMware, Inc.",2026-03-05T21:52:03Z,Managed,03ba6932d2484648a3927831460ae543,SensorGroupingTags/The_Aster,Default-First-Site-Name,Windows
ALA-SURFACE-02,,,Windows,Microsoft Corporation,2026-03-04T22:39:36Z,Managed,643887592d3748cd93fc4e2030d4b17c,SensorGroupingTags/The_Aster,,Windows
ALACFD03,353b7f9c0e804b95b0a1b09b9da14a66,"0C-37-96-74-A4-35, C6-23-60-3B-AB-C8",Windows 10,Microsoft Corporation,2026-03-05T21:47:10Z,Managed,d5aa76a0ce7441a58e06a5a16dfad378,SensorGroupingTags/The_Aster,Default-First-Site-Name,Windows
ALALA-MDF-IFC00,353b7f9c0e804b95b0a1b09b9da14a66,5C-ED-8C-A2-06-B1,Windows Server 2019,HPE,2026-03-05T21:29:20Z,Managed,afc85874f40c440fb1d13a03875c2915,SensorGroupingTags/The_Aster,Default-First-Site-Name,Windows
ALALACCMGR,353b7f9c0e804b95b0a1b09b9da14a66,"F4-A8-0D-6A-62-91, 0C-37-96-74-A4-3F, 24-B2-B9-79-77-C9",Windows 11,LENOVO,2026-03-05T21:37:00Z,Managed,561e34b0964c470c8c27b675bef6eaf9,SensorGroupingTags/The_Aster,Default-First-Site-Name,Windows
ALALMEM02,353b7f9c0e804b95b0a1b09b9da14a66,,Windows,LENOVO,2026-02-25T18:46:08Z,Managed,959582c03834488fa1e90b8064032642,SensorGroupingTags/The_Aster,,Windows
ALEXIS,4b0ee933473a40988ceda3c632687df6,00-BE-43-EB-9E-34,Windows 11,Dell Inc.,2026-03-05T21:59:49Z,Managed,e1c7ac4e73be44f1bc2af6c2056ba2a3,SensorGroupingTags/Western_Switches_and_Controls,Default-First-Site-Name,Windows
ANNAKDRAGONFLY,ea82338e40f64ee7bd0fb2bc90d2abf2,"00-09-0F-FE-00-01, 70-08-94-96-8F-65",Windows 11,LENOVO,2026-03-05T15:56:40Z,Managed,14f3da250d594c0da67509cbbb300832,SensorGroupingTags/Dragonfly_Strategists,,Windows
ASIGRA-BK-BHH,42ffc57030a845fb977565060d7288b4,6C-2B-59-E9-6C-BB,Windows 11,Dell Inc.,2026-03-05T21:43:08Z,Managed,d50a1c938be64014b7c2d0ca880a8390,SensorGroupingTags/Sixty_Beverly_Hills,,Windows
AUTOCAMP-VING,88dbfa66cbff4b01ba351ac1da343e0b,08-92-04-EA-02-E3,Windows 11,Dell Inc.,2026-03-05T21:36:41Z,Managed,eec48d51a55e49f8a628e8f894d36e27,SensorGroupingTags/Autocamp_Zion,,Windows
AXISNVR-JT,0e452d2d9feb45dba25d33969dea3855,"B8-A4-4F-33-C6-97, B8-A4-4F-33-C6-98",Windows 10,Axis Communications AB,2026-03-05T21:51:23Z,Managed,d0fb579879f74e2e99000cc9f9fd0651,SensorGroupingTags/Autocamp_Joshua_Tree,,Windows
BHP-HYPER-V,077cd3fef7dc4b8284282fd7804be217,D4-F5-EF-3D-32-50,Windows Server 2019,HPE,2026-03-05T22:04:02Z,Managed,aff2f6350d004992b031ddfd14d85738,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-02,077cd3fef7dc4b8284282fd7804be217,E8-80-88-DB-0A-AD,Windows 11,LENOVO,2026-03-05T22:04:33Z,Managed,e143f7819c3540b69e4b5fcfb9caaeb4,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-03,077cd3fef7dc4b8284282fd7804be217,E8-80-88-DB-0E-6A,Windows 11,LENOVO,2026-03-05T21:54:01Z,Managed,7f4613c0912748ab80cdd18b47671ee3,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-05,077cd3fef7dc4b8284282fd7804be217,C4-EF-BB-5F-6B-4A,Windows 11,LENOVO,2026-03-05T21:51:24Z,Managed,05d255450d1246bc9edd6cf118690f81,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-08,077cd3fef7dc4b8284282fd7804be217,C4-EF-BB-6A-94-3A,Windows 11,LENOVO,2026-03-05T21:25:09Z,Managed,ad7be9dded6b4d9fbb152d30024db35f,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-09,077cd3fef7dc4b8284282fd7804be217,40-C2-BA-73-A6-D3,Windows 11,LENOVO,2026-03-05T21:52:26Z,Managed,18da89fc2f2e459282cecb6323578965,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-PC-FD04,077cd3fef7dc4b8284282fd7804be217,40-C2-BA-6E-BB-6D,Windows 11,LENOVO,2026-03-05T21:48:57Z,Managed,41bf45c33a024378b6dd8bc2da24ddef,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHP-SNTIFC,077cd3fef7dc4b8284282fd7804be217,84-A9-3E-83-8F-68,Windows 10,HP,2026-03-05T22:02:15Z,Managed,a554b054dd1948d891836ea4aa37b01c,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHPCEXECGM,077cd3fef7dc4b8284282fd7804be217,00-2B-67-5D-6E-F8,Windows 11,LENOVO,2026-03-05T22:02:22Z,Managed,e93a01488fca4b1ebf8da64590ced36b,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHPCFD03,077cd3fef7dc4b8284282fd7804be217,98-EE-CB-EA-D0-28,Windows 11,LENOVO,2026-03-05T21:26:56Z,Managed,dcb398053be645e0a76c7e067c9ff3fe,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BHPCRESMGR,077cd3fef7dc4b8284282fd7804be217,98-EE-CB-EA-D1-4D,Windows 11,LENOVO,2026-03-05T21:53:21Z,Managed,293b7e2b89654948b9a693b095ffde06,SensorGroupingTags/Beverly_Hills_Plaza_Hotel,Default-First-Site-Name,Windows
BOASN-WS-104,4734437842964d689c5e1d38e448903d,E8-CF-83-91-E2-94,Windows 11,Dell Inc.,2026-03-05T21:49:55Z,Managed,fa7065942ac24cb6a0ef62b647c010b6,SensorGroupingTags/Innovative_Dining_Group,LosAngeles,Windows
BOASN-WS-105,eef54b724345477a9d560cfc69970608,E8-CF-83-91-08-15,Windows 11,Dell Inc.,2026-03-05T21:53:38Z,Managed,cf259e9603c74a5d9a6321e769bfd906,SensorGroupingTags/BOA_Steakhouse_West_Hollywood,LosAngeles,Windows
CA-ROOSEVELT-PM,df41f96ec07043a699672ae194a34a75,14-B3-1F-2C-15-6C,Windows 10,Dell Inc.,2026-03-05T21:48:19Z,Managed,c895f7fd4ee0461d89708dbb28973597,SensorGroupingTags/The_Hollywood_Roosevelt,,Windows
CA-SUNSETTOWERH,dd461f84d65749c39ca435673d7559b2,A0-1E-0B-13-13-43,Windows 10,OEM Production,2026-03-05T21:29:30Z,Managed,036b442265494251bb56ec5300bb264d,SensorGroupingTags/Sunset_Tower_Hotel,,Windows
CA-THOMPSONHOLL,eb1b27a9dd534c939ff995bb7d1b6383,A0-1E-0B-11-09-70,Windows 10,MINIX TECHNOLOGY LIMITED,2026-03-05T21:43:04Z,Managed,763ec1b23d4640af9631209839b1e1bd,SensorGroupingTags/Hollywood_Grande,,Windows
CAMINAR,8e3b2edf030942db88277765236c8066,00-0D-3A-5B-42-9F,Windows Server 2016,Microsoft Corporation,2026-03-05T22:03:59Z,Managed,40a57f67e14a4cd8aaa75ba7db4cbb9d,SensorGroupingTags/First_to_Serve_Corporate_9th,Default-First-Site-Name,Windows
CAPS,9223b31624c0447c8b64a49ac78a8827,00-0C-29-DB-7E-61,Windows 10,"VMware, Inc.",2026-03-05T21:59:27Z,Managed,874ad2c601964231a19c70a4a1a2a589,SensorGroupingTags/San_Vicente_Bungalows_West_Hollywood,,Windows
CENTERWESTSUPER,dd7030c7011f48b99bb742ecf51cf5d7,"50-9A-4C-5B-86-80, D8-EB-97-B8-90-DC",Windows 10,Dell Inc.,2026-03-05T21:59:51Z,Managed,e4f99485236a4341a87c3dd5edd96870,SensorGroupingTags/Indivest_Inc,,Windows
CENTRAL2,5e247f20275641c49a45fb35c8a2892f,44-A8-42-39-06-4E,Windows Server 2012 R2,Dell Inc.,2026-03-05T21:48:28Z,Managed,b9c6ecfe439d485e91e3409d130f246e,SensorGroupingTags/Miyako_Hybrid_Hotel_Torrance,Torrance,Windows
CORENYCCONFWORK,f0fa9ea15ba94493b463e1a2a9152f3a,40-74-E0-50-3D-4A,Windows 10,Intel(R) Client Systems,2026-03-05T21:57:05Z,Managed,1900ad02d06444c48533c674302c74a1,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCJUMPPC,f0fa9ea15ba94493b463e1a2a9152f3a,"00-E0-67-2E-83-C9, 0A-00-27-00-00-0E",Windows 10,Protectli,2026-03-05T21:40:42Z,Managed,cf3dea4381a34b53a3f95841c1247c28,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT004,f0fa9ea15ba94493b463e1a2a9152f3a,4C-82-A9-5F-2E-4D,Windows 11,LENOVO,2026-03-05T21:52:01Z,Managed,57140b4ef7884c078ac1152067b0f950,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT007,f0fa9ea15ba94493b463e1a2a9152f3a,28-DF-EB-F9-BC-6C,Windows 11,LENOVO,2026-03-05T20:45:24Z,Managed,6cddb351cb7041f18e36cbd25ac24aec,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT017,f0fa9ea15ba94493b463e1a2a9152f3a,58-1C-F8-7B-76-EA,Windows 11,LENOVO,2026-03-05T21:45:46Z,Managed,6353bb3eec164622ae81f60118277068,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT019,f0fa9ea15ba94493b463e1a2a9152f3a,28-DF-EB-F8-9A-7B,Windows 11,LENOVO,2026-03-05T19:50:08Z,Managed,a817a3f0179f467a81b6365698b79bf4,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT021,f0fa9ea15ba94493b463e1a2a9152f3a,04-7B-CB-C8-7A-8A,Windows 11,LENOVO,2026-03-05T21:55:07Z,Managed,9499e12a51fa4afa81aab02b6972ffcb,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT025,f0fa9ea15ba94493b463e1a2a9152f3a,10-5F-AD-88-0C-70,Windows 11,LENOVO,2026-03-05T21:58:55Z,Managed,d34677275c3b4f42a9d9346c059fa412,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT030,f0fa9ea15ba94493b463e1a2a9152f3a,48-68-4A-17-E0-17,Windows 11,LENOVO,2026-03-05T21:53:43Z,Managed,7c806e34aac3492fabad0eefdec0c363,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT031,f0fa9ea15ba94493b463e1a2a9152f3a,68-C6-AC-08-C6-B3,Windows 11,LENOVO,2026-03-05T21:59:02Z,Managed,24d47605c82147fb8c5f7888cd19974b,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT032,f0fa9ea15ba94493b463e1a2a9152f3a,EC-8E-77-4A-AD-58,Windows 11,LENOVO,2026-03-05T19:14:32Z,Managed,5df76e2590ed4fab95d6c9fd83dfa7f7,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT033,f0fa9ea15ba94493b463e1a2a9152f3a,EC-8E-77-A8-CC-A8,Windows 11,LENOVO,2026-02-24T16:16:09Z,Managed,e4d2ec8f6cd94e019ca55c560ca3a8a8,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT035,f0fa9ea15ba94493b463e1a2a9152f3a,EC-8E-77-4A-A0-6F,Windows 11,LENOVO,2026-03-05T21:39:12Z,Managed,1bf8d73c9778457e91f6eb8204cbaa8f,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT036,f0fa9ea15ba94493b463e1a2a9152f3a,8C-3B-4A-AC-0D-5D,Windows 11,LENOVO,2026-03-05T21:44:16Z,Managed,bea9ac979dca41069d42e7927fdc3952,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT039,f0fa9ea15ba94493b463e1a2a9152f3a,B0-60-88-53-CD-07,Windows 11,LENOVO,2026-03-05T18:37:27Z,Managed,485ad86c4e2b4ccb9bf38d3105f4a3a9,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT040,f0fa9ea15ba94493b463e1a2a9152f3a,40-C7-3C-EB-8F-84,Windows 11,Microsoft Corporation,2026-03-05T21:26:33Z,Managed,beb51f98d1864b55bdf3259125e944ee,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCLAPT12,f0fa9ea15ba94493b463e1a2a9152f3a,C0-A5-E8-3D-F4-28,Windows 11,LENOVO,2026-03-05T22:05:40Z,Managed,13f3dc3e7fc34b48bfef50c9d9e3095a,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCSALTOWOR,f0fa9ea15ba94493b463e1a2a9152f3a,00-23-24-C9-76-46,Windows 10,LENOVO,2026-03-05T21:37:56Z,Managed,3a6760d8862f47b7a95a246cd1737853,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCWORK001,f0fa9ea15ba94493b463e1a2a9152f3a,CC-6B-1E-6B-0C-AD,Windows 11,LENOVO,2026-03-05T21:38:18Z,Managed,8ef9f3de49ce4f8280f3b30ff0f5e4ce,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCWORK003,f0fa9ea15ba94493b463e1a2a9152f3a,CC-6B-1E-6A-B2-B1,Windows 11,LENOVO,2026-03-05T21:51:42Z,Managed,aaa9956bcd27425ca4f9490857733812,SensorGroupingTags/The_Core_Club_Fifth,,Windows
CORENYCWORK004,f0fa9ea15ba94493b463e1a2a9152f3a,38-7A-0E-68-60-E1,Windows 11,LENOVO,2026-03-05T21:46:14Z,Managed,f21aae529d984c36ba3bbd58ca4f6872,SensorGroupingTags/The_Core_Club_Fifth,,Windows
